ligante,smiles,inchikey,classe,alvo_primario,MW,logP,logD_pH5,TPSA,pKa_acido,pKa_base,carga_pH5,HBD,HBA,SA,PAINS,comentarios
caspofungina,[C@@]12(N(C[C@@H](C1)O)C([C@H]([C@@H](C)O)NC(=O)[C@](C[C@H]([C@@H](NCCN)NC([C@@H]3[C@H](CCN3C([C@H]([C@@H](CCN)O)NC(=O)[C@H]([C@@H]([C@H](C4=CC=C(C=C4)O)O)O)NC2=O)=O)O)=O)O)(NC(CCCCCCCC[C@H](C[C@H](CC)C)C)=O)[H])=O)[H], ,Echinocandina,FKS,1093.31,0.0615, ,412.03, , , , , , , ,Fonte: pilot_assets/ligands/caspofungina.smiles; logP/TPSA de obprop
ibrexafungerp,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@@]5(C)COC[C@@]4(C[C@@H](n4ncnc4-c4ccncc4)[C@@H]5OC[C@](C)(N)C(C)(C)C)C3=CC[C@@]2(C)[C@@H]1C(=O)O, ,Triterpenoide,FKS,730.03,9.3187, ,125.38, , , , , , , ,SMILES curado; logP/TPSA de obprop
nikkomicina Z,OC(=O)[C@H]([C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O)NC(=O)[C@H]([C@@H]([C@@H](c1ncc(cc1)O)O)C)N, ,Analogos UDP-GlcNAc,CHS,495.44,-2.386, ,250.32, , , , , , , ,SMILES canônico (CID 456557); logP/TPSA de obprop
polioxina D,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)[C@@H](C(=O)O)NC(=O)[C@H]([C@@H]([C@H](COC(=O)N)O)O)N)O)O)C(=O)O, ,Analogos UDP-GlcNAc,CHS,521.39,-4.6407, ,327.05, , , , , , , ,SMILES curado; logP/TPSA de obprop
