ligand,sdf,pdbqt,rotatable_before,frozen,rotatable_after_est,vina_dg_kcal_mol,smina_rc,log,pose
anidulafungin,tmp_ech_sdf/anidulafungin.sdf,docking_results_smina_auto/FKS/prepared/anidulafungin.pdbqt,28,23,5,-5.8,0,docking_results_smina_auto/FKS/FKS/anidulafungin/anidulafungin_on_FKS.log,docking_results_smina_auto/FKS/FKS/anidulafungin/anidulafungin_on_FKS.pdbqt
caspofungin,tmp_ech_sdf/caspofungin.sdf,docking_results_smina_auto/FKS/prepared/caspofungin.pdbqt,38,33,5,-5.8,0,docking_results_smina_auto/FKS/FKS/caspofungin/caspofungin_on_FKS.log,docking_results_smina_auto/FKS/FKS/caspofungin/caspofungin_on_FKS.pdbqt
micafungin,tmp_ech_sdf/micafungin.sdf,docking_results_smina_auto/FKS/prepared/micafungin.pdbqt,33,29,4,-7.1,0,docking_results_smina_auto/FKS/FKS/micafungin/micafungin_on_FKS.log,docking_results_smina_auto/FKS/FKS/micafungin/micafungin_on_FKS.pdbqt
papulacandin_B,tmp_ech_sdf/papulacandin B.sdf,docking_results_smina_auto/FKS/prepared/papulacandin_B.pdbqt,36,24,12,-5.8,0,docking_results_smina_auto/FKS/FKS/papulacandin_B/papulacandin_B_on_FKS.log,docking_results_smina_auto/FKS/FKS/papulacandin_B/papulacandin_B_on_FKS.pdbqt
rezafungin,tmp_ech_sdf/rezafungin.sdf,docking_results_smina_auto/FKS/prepared/rezafungin.pdbqt,34,29,5,-6.7,0,docking_results_smina_auto/FKS/FKS/rezafungin/rezafungin_on_FKS.log,docking_results_smina_auto/FKS/FKS/rezafungin/rezafungin_on_FKS.pdbqt
